period,period2,ratioTOTAL21,ratioCAT1_21,ratioCAT2_21,ratioCAT3_21,ratioCAT4_21,profCAT11,profCAT21,profCAT31,profCAT41,profCAT1total1,profCAT2total1,profCAT3total1,profCAT4total1,ratioTOTAL22,ratioCAT1_22,ratioCAT2_22,ratioCAT3_22,ratioCAT4_22,profCAT12,profCAT22,profCAT32,profCAT42,profCAT1total2,profCAT2total2,profCAT3total2,profCAT4total2,difCAT1_2,difCAT2_2,difCAT3_2,difCAT4_2,dif_ratioTOTAL2
2007h2,2007.5,.10881625,.009313223,.045006718,.054141559,.00035474836,92.900002,318.10001,403.79999,1.1,95.5,324.60001,415.5,1.1,.088091433,.0036022211,.025326926,.059021935,.00014034998,17.527779,124.02778,289.47223,.72222221,18.027779,129.05556,303.55554,.91666669,.0057110018,.019679792,-.0048803762,.00021439839,.020724818
2008h1,2008,.11671092,.0097157778,.046839617,.059786342,.00036917516,105.2,361.79999,499.70001,1.5,109.6,369.39999,517.70001,1.5,.084482513,.0031562452,.023855984,.057345945,.00012433667,17.138889,125.91666,300.08334,.6388889,18.111111,134.33333,325.02777,.77777779,.0065595326,.022983633,.0024403967,.00024483848,.032228403
2008h2,2008.5,.11923554,.0097991684,.047461849,.061617736,.00035678112,102.8,358.20001,506.39999,1.5,109.6,369.39999,517.70001,1.5,.094275758,.003187228,.025797673,.065141827,.00014902937,17.388889,131.72223,318.30554,.75,18.111111,134.33333,325.02777,.77777779,.0066119405,.021664176,-.0035240911,.00020775176,.02495978
2009h1,2009,.11689881,.010048274,.046591293,.060001276,.00025796986,110.5,368.20001,508.29999,.89999998,116.4,406.89999,608,2.5,.083339378,.0025394312,.021727629,.058960401,.00011192165,16.944445,127.5,309.72223,.69444442,19.138889,136.5,335.58334,.8611111,.0075088427,.024863664,.0010408759,.0001460482,.033559434
2009h2,2009.5,.1185405,.01031691,.04638543,.061080247,.00075791468,110.1,378,539.90002,2.4000001,116.4,406.89999,608,2.5,.085531972,.0028017575,.021867052,.060734764,.00012839941,18,131.11111,323.66666,.77777779,19.138889,136.5,335.58334,.8611111,.0075151529,.024518378,.00034548342,.00062951527,.033008531
2010h1,2010,.1280126,.011273065,.049477402,.066571184,.00069094566,123.1,382.79999,545.09998,2,132.7,421.29999,599.70001,2.2,.096358024,.0044041267,.025671048,.066086255,.0001965979,19.111111,138.86111,333.72223,1.0277778,21.472221,145.55556,350.97223,1.3055556,.006868938,.023806354,.00048492849,.00049434777,.031654574
2010h2,2010.5,.13864639,.011813979,.052989293,.07323809,.00060503167,131.60001,420.79999,591.59998,2.0999999,132.7,421.29999,599.70001,2.2,.091624737,.0030313733,.024794703,.063560836,.00023782496,19.944445,136.19444,331.41666,1.1388888,21.472221,145.55556,350.97223,1.3055556,.0087826056,.02819459,.0096772537,.0003672067,.047021657
2011h1,2011,.13671154,.012457634,.053779177,.069367237,.0011074833,142.39999,436.29999,619.79999,5.3000002,152.7,453.10001,635,6.1999998,.089844145,.0032769463,.025948424,.060143545,.00047522908,23.027779,146.05556,307.44446,2.4722223,25.361111,157.97223,332.36111,2.6666667,.0091806883,.027830753,.0092236921,.00063225417,.046867393
2011h2,2011.5,.13464886,.013456707,.053047817,.066906698,.0012376353,149.89999,440.79999,611.40002,6.0999999,152.7,453.10001,635,6.1999998,.09096016,.0041001653,.028255288,.058300026,.00030467901,24.194445,150.77777,311.91666,2.0833333,25.361111,157.97223,332.36111,2.6666667,.0093565416,.02479253,.0086066723,.00093295623,.0436887
2012h1,2012,.13234262,.013537244,.054192856,.063604735,.0010077895,149.7,440.5,592.09998,5.4000001,157.2,463.10001,604.90002,7.0999999,.098843113,.0051687285,.029592955,.063627191,.00045423734,28.083334,168.36111,349.83334,2.7222223,31.305555,177.63889,362.16666,3,.0083685154,.0245999,-.00002245605,.00055355218,.033499509
2012h2,2012.5,.14338602,.015222004,.058843464,.067931391,.0013891557,156.7,460,580.70001,6.3000002,157.2,463.10001,604.90002,7.0999999,.093865916,.0056783925,.031080602,.056704603,.00040231337,29.944445,173.63889,340.02777,2.5833333,31.305555,177.63889,362.16666,3,.0095436107,.027762862,.011226788,.00098684244,.049520105
