period,icf_pr,tottest,periodo
1998h1,8.566689789998108,15857,1998
1998h2,8.281853631994196,11027,1998.5
1999h1,8.589785916946092,19385,1999
1999h2,8.364403240624739,11973,1999.5
2000h1,8.511209546194179,22124,2000
2000h2,8.15987833906374,15124,2000.5
2001h1,8.057083366072129,25454,2001
2001h2,7.850031871124761,17257,2001.5
2002h1,7.901332336346951,29422,2002
2002h2,7.703402036255277,20135,2002.5
2003h1,7.86507062329921,30868,2003
2003h2,7.815885167464115,20900,2003.5
2004h1,7.986432615322769,29851,2004
2004h2,7.733713512468587,20692,2004.5
2005h1,7.943978043267679,30970,2005
2005h2,7.746901529940527,22027,2005.5
2006h1,7.856125182659523,32848,2006
2006h2,7.652050258935393,23558,2006.5
2007h1,7.638641304347826,36800,2007
2007h2,7.536704009433962,27136,2007.5
2008h1,7.741570485358601,39682,2008
2008h2,7.512259163325409,28183,2008.5
2009h1,7.721951716929666,39227,2009
2009h2,7.565240509021304,28211,2009.5
2010h1,7.616147202403305,39945,2010
2010h2,7.612220753009952,28738,2010.5
2011h1,7.817665435955695,42252,2011
2011h2,7.731022450457568,30378,2011.5
2012h1,8.014359258489739,43317,2012
