v1,period,ncredit,ycredit,rel,total,_merge,period2
156324,1998h1,108548,2190,2.0175407,110738,matched (3),1998
107560,1998h2,153035,3655,2.3883424,156690,matched (3),1998.5
140559,1999h1,216004,7143,3.3068831,223147,matched (3),1999
108419,1999h2,248495,9778,3.9348881,258273,matched (3),1999.5
153457,2000h1,322626,16932,5.2481823,339558,matched (3),2000
116086,2000h2,354558,21566,6.0825028,376124,matched (3),2000.5
162170,2001h1,425248,28351,6.6669331,453599,matched (3),2001
119509,2001h2,442163,30654,6.9327378,472817,matched (3),2001.5
171063,2002h1,516793,41240,7.9799848,558033,matched (3),2002
133790,2002h2,537235,52072,9.6925926,589307,matched (3),2002.5
171946,2003h1,601904,58822,9.7726545,660726,matched (3),2003
140637,2003h2,616818,67750,10.983791,684568,matched (3),2003.5
178688,2004h1,649655,81645,12.56744,731300,matched (3),2004
149802,2004h2,652740,78840,12.078316,731580,matched (3),2004.5
188102,2005h1,695365,98469,14.160765,793834,matched (3),2005
159589,2005h2,702924,96770,13.766781,799694,matched (3),2005.5
203103,2006h1,749499,109379,14.593615,858878,matched (3),2006
162788,2006h2,766419,116952,15.259539,883371,matched (3),2006.5
209492,2007h1,831276,135192,16.263189,966468,matched (3),2007
178101,2007h2,852076,133811,15.704116,985887,matched (3),2007.5
228177,2008h1,917182,143699,15.667446,1060881,matched (3),2008
177231,2008h2,929840,134203,14.432913,1064043,matched (3),2008.5
224972,2009h1,985348,151865,15.412322,1137213,matched (3),2009
184460,2009h2,965502,176002,18.229065,1141504,matched (3),2009.5
216050,2010h1,1015403,187056,18.421848,1202459,matched (3),2010
182569,2010h2,986237,202420,20.524479,1188657,matched (3),2010.5
224734,2011h1,1023802,257393,25.140896,1281195,matched (3),2011
185417,2011h2,1034268,239917,23.196793,1274185,matched (3),2011.5
231486,2012h1,1101288,259562,23.568949,1360850,matched (3),2012
190111,2012h2,1094850,257930,23.558477,1352780,matched (3),2012.5
226553,2013h1,1153509,267045,23.150665,1420554,matched (3),2013
